Currently, polynomial evaluation uses method 2
Currently, rational function evaluation uses method 2
Currently, the largest order of polynomial or rational function that uses a method other than 0, is 17
Currently, rational functions with integer coefficients are evaluated using mixed integer/real arithmetic
Policies are currently set as follows:

Policy                                  Value
BOOST_MATH_DOMAIN_ERROR_POLICY          ignore_error
BOOST_MATH_POLE_ERROR_POLICY            throw_on_error
BOOST_MATH_OVERFLOW_ERROR_POLICY        ignore_error
BOOST_MATH_UNDERFLOW_ERROR_POLICY       ignore_error
BOOST_MATH_DENORM_ERROR_POLICY          ignore_error
BOOST_MATH_EVALUATION_ERROR_POLICY      throw_on_error
BOOST_MATH_DIGITS10_POLICY              0
BOOST_MATH_PROMOTE_FLOAT_POLICY         true
BOOST_MATH_PROMOTE_DOUBLE_POLICY        true
BOOST_MATH_DISCRETE_QUANTILE_POLICY     integer_round_outwards
BOOST_MATH_ASSERT_UNDEFINED_POLICY      true
BOOST_MATH_MAX_ITER                     1000000
Testing intel-Polynomial-method-0                     7.702e-008
Testing intel-Polynomial-method-1                     7.702e-008
Testing intel-Polynomial-method-2                     7.446e-008
Testing intel-Polynomial-method-3                     7.690e-008
Testing intel-Polynomial-mixed-method-0               7.702e-008
Testing intel-Polynomial-mixed-method-1               7.702e-008
Testing intel-Polynomial-mixed-method-2               6.591e-008
Testing intel-Polynomial-mixed-method-3               7.934e-008
Testing intel-Rational-method-0                       1.245e-007
Testing intel-Rational-method-1                       1.245e-007
Testing intel-Rational-method-2                       1.465e-007
Testing intel-Rational-method-3                       1.318e-007
Testing intel-Rational-mixed-method-0                 1.245e-007
Testing intel-Rational-mixed-method-1                 1.245e-007
Testing intel-Rational-mixed-method-2                 1.443e-007
Testing intel-Rational-mixed-method-3                 1.294e-007
Testing intel-dist-beta-cdf                           1.779e-006
Testing intel-dist-beta-pdf                           6.959e-007
Testing intel-dist-beta-quantile                      5.112e-006
Testing intel-dist-binomial-cdf                       4.163e-007
Testing intel-dist-binomial-pdf                       4.673e-007
Testing intel-dist-binomial-quantile                  3.935e-006
Testing intel-dist-cauchy-cdf                         6.456e-008
Testing intel-dist-cauchy-pdf                         2.830e-008
Testing intel-dist-cauchy-quantile                    1.264e-007
Testing intel-dist-chi_squared-cdf                    4.999e-007
Testing intel-dist-chi_squared-pdf                    4.278e-007
Testing intel-dist-chi_squared-quantile               2.902e-006
Testing intel-dist-exponential-cdf                    6.032e-008
Testing intel-dist-exponential-pdf                    5.498e-008
Testing intel-dist-exponential-quantile               3.087e-007
Testing intel-dist-fisher_f-cdf                       1.180e-006
Testing intel-dist-fisher_f-pdf                       8.087e-007
Testing intel-dist-fisher_f-quantile                  6.056e-006
Testing intel-dist-gamma-cdf                          6.943e-007
Testing intel-dist-gamma-pdf                          5.371e-007
Testing intel-dist-gamma-quantile                     3.335e-006
Testing intel-dist-lognormal-cdf                      1.663e-007
Testing intel-dist-lognormal-pdf                      1.736e-007
Testing intel-dist-lognormal-quantile                 2.315e-007
Testing intel-dist-negative_binomial-cdf              7.570e-007
Testing intel-dist-negative_binomial-pdf              8.343e-007
Testing intel-dist-negative_binomial-quantile         9.774e-006
Testing intel-dist-normal-cdf                         4.583e-008
Testing intel-dist-normal-pdf                         4.767e-008
Testing intel-dist-normal-quantile                    2.033e-007
Testing intel-dist-poisson-cdf                        5.443e-007
Testing intel-dist-poisson-pdf                        2.774e-007
Testing intel-dist-poisson-quantile                   1.311e-006
Testing intel-dist-students_t-cdf                     1.044e-006
Testing intel-dist-students_t-pdf                     6.225e-007
Testing intel-dist-students_t-quantile                2.152e-006
Testing intel-dist-weibull-cdf                        2.446e-007
Testing intel-dist-weibull-pdf                        2.642e-007
Testing intel-dist-weibull-quantile                   4.734e-007
Testing intel-erf                                     4.118e-008
Testing intel-erf_inv                                 4.439e-008
Testing intel-gamma                                   1.987e-007
Testing intel-ibeta                                   1.631e-006
Testing intel-ibeta_inv                               6.133e-006
Testing intel-ibeta_invab                             2.453e-005
Testing intel-igamma                                  6.735e-007
Testing intel-igamma_inv                              2.637e-006
Testing intel-igamma_inva                             7.716e-006
Testing intel-lgamma                                  2.048e-007

