Currently, polynomial evaluation uses method 3
Currently, rational function evaluation uses method 3
Currently, the largest order of polynomial or rational function that uses a method other than 0, is 17
Currently, rational functions with integer coefficients are evaluated using all real arithmetic (integer coefficients are actually stored as reals)

Policies are currently set as follows:

Policy                                  Value
BOOST_MATH_DOMAIN_ERROR_POLICY          ignore_error
BOOST_MATH_POLE_ERROR_POLICY            throw_on_error
BOOST_MATH_OVERFLOW_ERROR_POLICY        ignore_error
BOOST_MATH_UNDERFLOW_ERROR_POLICY       ignore_error
BOOST_MATH_DENORM_ERROR_POLICY          ignore_error
BOOST_MATH_EVALUATION_ERROR_POLICY      throw_on_error
BOOST_MATH_DIGITS10_POLICY              0
BOOST_MATH_PROMOTE_FLOAT_POLICY         true
BOOST_MATH_PROMOTE_DOUBLE_POLICY        false
BOOST_MATH_DISCRETE_QUANTILE_POLICY     integer_round_outwards
BOOST_MATH_ASSERT_UNDEFINED_POLICY      true
BOOST_MATH_MAX_ITER                     1000000
Testing gcc-Polynomial-method-0                     2.102e-07
Testing gcc-Polynomial-method-1                     1.002e-07
Testing gcc-Polynomial-method-2                     1.025e-07
Testing gcc-Polynomial-method-3                     7.688e-08
Testing gcc-Polynomial-mixed-method-0               1.115e-06
Testing gcc-Polynomial-mixed-method-1               3.032e-07
Testing gcc-Polynomial-mixed-method-2               2.690e-07
Testing gcc-Polynomial-mixed-method-3               3.227e-07
Testing gcc-Rational-method-0                       1.638e-07
Testing gcc-Rational-method-1                       1.711e-07
Testing gcc-Rational-method-2                       1.711e-07
Testing gcc-Rational-method-3                       1.418e-07
Testing gcc-Rational-mixed-method-0                 6.748e-07
Testing gcc-Rational-mixed-method-1                 6.357e-07
Testing gcc-Rational-mixed-method-2                 5.674e-07
Testing gcc-Rational-mixed-method-3                 5.674e-07
Testing gcc-dist-beta-cdf                           3.786e-06
Testing gcc-dist-beta-pdf                           1.825e-06
Testing gcc-dist-beta-quantile                      1.350e-05
Testing gcc-dist-binomial-cdf                       1.378e-06
Testing gcc-dist-binomial-pdf                       1.378e-06
Testing gcc-dist-binomial-quantile                  6.768e-06
Testing gcc-dist-cauchy-cdf                         1.089e-07
Testing gcc-dist-cauchy-pdf                         3.025e-08
Testing gcc-dist-cauchy-quantile                    2.341e-07
Testing gcc-dist-chi_squared-cdf                    1.289e-06
Testing gcc-dist-chi_squared-pdf                    1.243e-06
Testing gcc-dist-chi_squared-quantile               7.392e-06
Testing gcc-dist-exponential-cdf                    1.021e-07
Testing gcc-dist-exponential-pdf                    1.174e-07
Testing gcc-dist-exponential-quantile               3.667e-07
Testing gcc-dist-fisher_f-cdf                       2.683e-06
Testing gcc-dist-fisher_f-pdf                       1.617e-06
Testing gcc-dist-fisher_f-quantile                  1.550e-05
Testing gcc-dist-gamma-cdf                          2.031e-06
Testing gcc-dist-gamma-pdf                          1.662e-06
Testing gcc-dist-gamma-quantile                     1.005e-05
Testing gcc-dist-lognormal-cdf                      2.734e-07
Testing gcc-dist-lognormal-pdf                      3.667e-07
Testing gcc-dist-lognormal-quantile                 6.486e-07
Testing gcc-dist-negative_binomial-cdf              2.042e-06
Testing gcc-dist-negative_binomial-pdf              1.869e-06
Testing gcc-dist-negative_binomial-quantile         1.766e-05
Testing gcc-dist-normal-cdf                         8.677e-08
Testing gcc-dist-normal-pdf                         1.198e-07
Testing gcc-dist-normal-quantile                    1.776e-07
Testing gcc-dist-poisson-cdf                        1.400e-06
Testing gcc-dist-poisson-pdf                        8.998e-07
Testing gcc-dist-poisson-quantile                   2.418e-06
Testing gcc-dist-students_t-cdf                     2.486e-06
Testing gcc-dist-students_t-pdf                     2.224e-06
Testing gcc-dist-students_t-quantile                5.897e-06
Testing gcc-dist-weibull-cdf                        9.004e-07
Testing gcc-dist-weibull-pdf                        1.801e-06
Testing gcc-dist-weibull-quantile                   1.585e-06
Testing gcc-erf                                     1.336e-07
Testing gcc-erf_inv                                 3.500e-07
Testing gcc-gamma                                   9.655e-07
Testing gcc-ibeta                                   4.975e-06
Testing gcc-ibeta_inv                               1.597e-05
Testing gcc-ibeta_invab                             6.947e-05
Testing gcc-igamma                                  1.872e-06
Testing gcc-igamma_inv                              8.736e-06
Testing gcc-igamma_inva                             1.974e-05
Testing gcc-lgamma                                  8.679e-07

